id,citation
GTEx,GTEx_Consortium2020-xl
TCGA,tcga2013-gx
SRP187978,Caliskan2019-od
SRP192714,Michlmayr2020-dp
ERP007111,Streeter2017-cl
SRP150552,Altman2019-wf
SRP174638,Dufort2019-nw
SRP098758,Suliman2018-ga
SRP101294,Armenise2017-qn
ERP115010, Roe2020-di
SRP095272,Jadhav2019-fo
SRP102999,Kuan2017-hp
SRP057500,Best2015-ha
SRP181886,Srinivasan2020-es
SRP069212,Yang2017-lu
SRP059039,DeBerg2018-ea
SRP162654,Harrison2019-ld
SRP032775,Tran2016-ro
SRP145493,Kuan2019-ju
SRP051848,Breen2015-fm
SRP035988,Li2014-lw
E-ENAD-34,Chen2016-dl
E-GEUV-1,Lappalainen2013-io
E-ENAD-33,Schwartzentruber2018-fa
E-MTAB-4748,Streeter2017-cl
E-GEOD-57945,Haberman2014-fw
E-GEOD-52166,Tran2016-ro
